,City,Country,Date,Latitude,Longitude,Cloudiness %,Humidity %,Max Temp (F),Wind Speed (mph)
0,provideniya,RU,2021-09-26 18:03:03,64.3833,-173.3,40,75,37.77799999999996,7
1,niamey,NE,2021-09-26 18:00:14,13.5137,2.1098,59,32,91.77799999999996,3.28
2,asfi,MA,2021-09-26 18:02:25,32.2994,-9.2372,83,78,70.62799999999996,6.21
3,new norfolk,AU,2021-09-26 18:00:58,-42.7826,147.0587,24,76,48.01999999999996,0.45
4,isangel,VU,2021-09-26 18:03:06,-19.55,169.2667,53,63,75.41600000000001,4.18
5,khatanga,RU,2021-09-26 18:01:11,71.9667,102.5,91,92,28.417999999999985,3.85
6,aden,YE,2021-09-26 18:03:09,12.7794,45.0367,15,76,86.234,2.04
7,barrow,US,2021-09-26 18:03:10,71.2906,-156.7887,90,86,21.488000000000042,3.09
8,astaneh-ye ashrafiyeh,IR,2021-09-26 18:03:11,37.2596,49.9444,0,78,61.28599999999997,1.63
9,komsomolskiy,UZ,2021-09-26 18:03:12,40.4272,71.7189,0,26,67.19000000000003,2.06
10,albany,US,2021-09-26 18:03:13,42.6001,-73.9662,6,58,67.19000000000003,3.59
11,mouzakion,,,,,,,,
12,belfast,GB,2021-09-26 18:00:20,54.5833,-5.9333,20,89,55.49000000000002,1.54
13,tebingtinggi,ID,2021-09-26 18:03:16,3.3285,99.1625,100,97,74.48000000000005,1.94
14,kathmandu,NP,2021-09-26 18:03:01,27.7167,85.3167,75,100,66.68599999999998,0
15,tabuk,PH,2021-09-26 18:03:17,17.4189,121.4443,41,93,73.94000000000003,0.86
16,hobart,AU,2021-09-26 17:59:04,-42.8794,147.3294,20,83,48.38000000000004,1.79
17,cabo san lucas,MX,2021-09-26 17:59:45,22.8909,-109.9124,13,67,94.87400000000002,2.8
18,lubango,AO,2021-09-26 18:00:18,-14.9172,13.4925,1,50,64.02200000000005,0.74
19,cidreira,BR,2021-09-26 18:03:21,-30.1811,-50.2056,1,95,65.15600000000003,2.84
20,kapaa,US,2021-09-26 18:01:42,22.0752,-159.319,19,71,83.75,1.34
21,cherskiy,RU,2021-09-26 18:03:22,68.75,161.3,100,99,32.575999999999986,8.28
22,padang,ID,2021-09-26 18:03:17,-0.9492,100.3543,100,92,76.29800000000003,0.39
23,finschhafen,PG,2021-09-26 18:03:24,-6.6024,147.8681,35,72,82.74199999999999,3.92
24,attawapiskat,,,,,,,,
25,kashi,CN,2021-09-26 18:03:26,39.4547,75.9797,0,27,67.53200000000001,0.92
26,susuman,RU,2021-09-26 18:03:27,62.7833,148.1667,38,81,29.966000000000008,0.46
27,saint-philippe,RE,2021-09-26 18:03:27,-21.3585,55.7679,64,89,69.65600000000003,6.97
28,clarksdale,US,2021-09-26 18:03:28,34.2001,-90.5709,1,39,85.17200000000004,0
29,jamestown,US,2021-09-26 18:03:28,42.097,-79.2353,90,48,63.57200000000004,2.24
30,yellowknife,CA,2021-09-26 17:51:46,62.456,-114.3525,75,73,46.688000000000045,1.34
31,beringovskiy,RU,2021-09-26 18:03:28,63.05,179.3167,100,94,36.48200000000001,0.85
32,chicama,PE,2021-09-26 18:03:29,-7.8447,-79.1469,36,72,61.609999999999985,3.42
33,tigil,RU,2021-09-26 18:03:29,57.8,158.6667,100,79,45.211999999999954,0.64
34,mareeba,AU,2021-09-26 18:03:29,-17,145.4333,52,81,72.75199999999998,1.2
35,punta arenas,CL,2021-09-26 18:03:30,-53.15,-70.9167,40,61,46.77799999999996,6.17
36,victoria,HK,2021-09-26 17:59:14,22.2855,114.1577,9,83,84.59600000000006,0.45
37,bhadrachalam,IN,2021-09-26 18:03:32,17.6667,80.8833,100,94,76.424,2
38,illoqqortoormiut,,,,,,,,
39,busselton,AU,2021-09-26 18:00:20,-33.65,115.3333,79,88,56.35399999999996,6.76
40,kamenskoye,,,,,,,,
41,ushuaia,AR,2021-09-26 17:58:14,-54.8,-68.3,40,46,46.32799999999996,2.06
42,bethel,US,2021-09-26 18:03:36,41.3712,-73.414,1,58,70.43000000000004,2.57
43,hermanus,ZA,2021-09-26 18:03:36,-34.4187,19.2345,84,88,61.17799999999997,3.52
44,cape town,ZA,2021-09-26 17:55:00,-33.9258,18.4232,0,76,62.366000000000014,0.89
45,gafanha da encarnacao,PT,2021-09-26 18:03:37,40.6181,-8.733,100,77,66.542,2.82
46,hithadhoo,MV,2021-09-26 18:03:38,-0.6,73.0833,100,73,82.63399999999999,7.59
47,port hueneme,US,2021-09-26 18:01:19,34.1478,-119.1951,90,80,86.46799999999999,3.09
48,belmonte,BR,2021-09-26 18:03:38,-15.8631,-38.8828,84,80,74.174,3.16
49,kodiak,US,2021-09-26 18:03:38,57.79,-152.4072,20,43,53.38399999999999,7.72
50,great bend,US,2021-09-26 18:03:39,38.3645,-98.7648,1,16,97.592,4.02
51,ixtapa,MX,2021-09-26 18:03:39,20.7,-105.2,42,76,87.49399999999997,2.24
52,rikitea,PF,2021-09-26 18:03:39,-23.1203,-134.9692,5,73,74.11999999999996,8.91
53,lokken verk,,,,,,,,
54,upernavik,GL,2021-09-26 18:03:40,72.7868,-56.1549,0,65,24.835999999999967,1.58
55,vaini,TO,2021-09-26 18:03:40,-21.2,-175.2,75,83,75.63200000000002,2.57
56,east london,ZA,2021-09-26 18:00:33,-33.0153,27.9116,23,86,65.73200000000003,6.29
